datetime,LINK_ID,ROAD_ROUTE_ID,SECTN_CAR_CNT,TR_VOL_5MN,SM_TR_VOL_5MN,MD_TR_VOL_5MN,LG_TR_VOL_5MN,TR_VOL_15MN,SM_TR_VOL_15MN,MD_TR_VOL_15MN,LG_TR_VOL_15MN,TR_VOL_YMDH,SM_TR_VOL_YMDH,MD_TR_VOL_YMDH,LG_TR_VOL_YMDH
202201010250,1860217400,AD2500001044,0,5,1,1,3,,,,,,,,
202201011850,1860217400,AD2500001044,27,51,51,0,0,,,,,,,,
202201021730,1860217400,AD2500001044,11,79,79,0,0,196,196,0,0,,,,
202201030050,1860217400,AD2500001044,8,7,1,0,6,,,,,,,,
202201031430,1860217400,AD2500001044,17,63,63,0,0,172,172,0,0,,,,
202201011910,1860217400,AD2500001044,4,34,34,0,0,,,,,,,,
202201021750,1860217400,AD2500001044,21,79,79,0,0,,,,,,,,
202201030110,1860217400,AD2500001044,3,9,5,2,2,,,,,,,,
202201031450,1860217400,AD2500001044,18,56,56,0,0,,,,,,,,
202201011930,1860217400,AD2500001044,9,44,44,0,0,130,109,12,9,,,,
202201030130,1860217400,AD2500001044,0,8,5,2,1,20,9,4,7,,,,
202201021810,1860217400,AD2500001044,16,47,47,0,0,,,,,,,,
202201031510,1860217400,AD2500001044,17,42,42,0,0,,,,,,,,
202201011950,1860217400,AD2500001044,12,56,29,12,15,,,,,,,,
202201040130,1860217400,AD2500001044,0,14,4,4,6,47,14,14,19,,,,
202201030150,1860217400,AD2500001044,3,12,6,1,5,,,,,,,,
202201042350,1860217400,AD2500001044,3,37,15,13,9,,,,,,,,
202201031530,1860217400,AD2500001044,22,84,84,0,0,218,218,0,0,,,,
202201052050,1860217400,AD2500001044,13,60,24,18,18,,,,,,,,
202201040150,1860217400,AD2500001044,0,20,10,3,7,,,,,,,,
202201050010,1860217400,AD2500001044,0,7,1,1,5,,,,,,,,
202201050730,1860217400,AD2500001044,63,34,27,5,2,99,71,19,9,,,,
202201052110,1860217400,AD2500001044,18,64,31,12,21,,,,,,,,
202201040210,1860217400,AD2500001044,0,8,2,3,3,,,,,,,,
202201050030,1860217400,AD2500001044,2,25,9,5,11,59,19,16,24,,,,
202201050750,1860217400,AD2500001044,80,44,31,11,2,,,,,,,,
202201052130,1860217400,AD2500001044,10,67,23,11,33,178,68,40,70,,,,
202201040230,1860217400,AD2500001044,0,10,4,1,5,28,7,3,18,,,,
202201050050,1860217400,AD2500001044,0,14,3,5,6,,,,,,,,
202201050810,1860217400,AD2500001044,63,30,22,6,2,,,,,,,,
202201052150,1860217400,AD2500001044,2,64,23,26,15,,,,,,,,
202201060810,1860217400,AD2500001044,32,13,9,1,3,,,,,,,,
202201070630,1860217400,AD2500001044,15,12,4,1,7,40,12,9,19,,,,
202201111830,1860217400,AD2500001044,30,123,123,0,0,276,276,0,0,,,,
202201071350,1860217400,AD2500001044,19,47,47,0,0,,,,,,,,
202201060830,1860217400,AD2500001044,94,23,17,1,5,73,51,13,9,,,,
202201070650,1860217400,AD2500001044,18,13,4,3,6,,,,,,,,
202201111850,1860217400,AD2500001044,22,83,83,0,0,,,,,,,,
202201071410,1860217400,AD2500001044,22,28,28,0,0,,,,,,,,
202201060850,1860217400,AD2500001044,57,36,28,4,4,,,,,,,,
202201070710,1860217400,AD2500001044,27,13,12,1,0,,,,,,,,
202201111910,1860217400,AD2500001044,15,57,57,0,0,,,,,,,,
202201071430,1860217400,AD2500001044,18,50,50,0,0,123,123,0,0,,,,
202201060910,1860217400,AD2500001044,42,20,16,3,1,,,,,,,,
202201070730,1860217400,AD2500001044,31,18,13,2,3,54,39,9,6,,,,
202201111930,1860217400,AD2500001044,17,76,76,0,0,196,170,6,20,,,,
202201071450,1860217400,AD2500001044,37,45,45,0,0,,,,,,,,
202201212230,1860217400,AD2500001044,5,50,21,11,18,97,34,28,35,,,,
202201241010,1860217400,AD2500001044,23,37,28,4,5,,,,,,,,
202201141850,1860217400,AD2500001044,23,32,32,0,0,,,,,,,,
202201111950,1860217400,AD2500001044,14,74,20,24,30,,,,,,,,
202201212250,1860217400,AD2500001044,8,27,8,9,10,,,,,,,,
202201241030,1860217400,AD2500001044,35,39,28,10,1,170,159,10,1,,,,
202201112010,1860217400,AD2500001044,0,39,18,12,9,,,,,,,,
202201141910,1860217400,AD2500001044,12,24,24,0,0,,,,,,,,
202201212310,1860217400,AD2500001044,2,14,5,2,7,,,,,,,,
202201241050,1860217400,AD2500001044,37,81,81,0,0,,,,,,,,
202201112030,1860217400,AD2500001044,15,80,32,19,29,191,73,47,71,,,,
202201141930,1860217400,AD2500001044,19,41,41,0,0,120,100,8,12,,,,
202201212330,1860217400,AD2500001044,0,19,7,4,8,54,18,15,21,,,,
202201241110,1860217400,AD2500001044,35,48,48,0,0,,,,,,,,
202201141950,1860217400,AD2500001044,15,47,18,9,20,,,,,,,,
202201112050,1860217400,AD2500001044,10,54,14,16,24,,,,,,,,
202201212350,1860217400,AD2500001044,8,24,9,6,9,,,,,,,,
202201241130,1860217400,AD2500001044,30,57,57,0,0,150,150,0,0,,,,
202201112110,1860217400,AD2500001044,7,48,17,13,18,,,,,,,,
202201142010,1860217400,AD2500001044,7,27,11,6,10,,,,,,,,
202201220010,1860217400,AD2500001044,7,21,9,2,10,,,,,,,,
202201241150,1860217400,AD2500001044,20,77,77,0,0,,,,,,,,
202201112130,1860217400,AD2500001044,10,62,24,21,17,153,54,48,51,,,,
202201142030,1860217400,AD2500001044,13,46,18,13,15,114,42,31,41,,,,
202201220030,1860217400,AD2500001044,3,19,9,4,6,44,18,10,16,,,,
202201241210,1860217400,AD2500001044,18,42,42,0,0,,,,,,,,
202201112150,1860217400,AD2500001044,9,48,23,10,15,,,,,,,,
202201142050,1860217400,AD2500001044,7,53,20,13,20,,,,,,,,
202201220050,1860217400,AD2500001044,2,16,8,3,5,,,,,,,,
202201241230,1860217400,AD2500001044,18,78,78,0,0,188,188,0,0,,,,
202201112210,1860217400,AD2500001044,12,54,18,13,23,,,,,,,,
202201142110,1860217400,AD2500001044,9,35,17,6,12,,,,,,,,
202201220110,1860217400,AD2500001044,0,9,1,3,5,,,,,,,,
202201241250,1860217400,AD2500001044,26,69,69,0,0,,,,,,,,
202201112230,1860217400,AD2500001044,8,40,15,11,14,104,41,28,35,,,,
202201142130,1860217400,AD2500001044,11,54,21,19,14,120,48,37,35,,,,
202201220130,1860217400,AD2500001044,4,12,2,4,6,35,7,9,19,,,,
202201241310,1860217400,AD2500001044,9,45,45,0,0,,,,,,,,
202201112250,1860217400,AD2500001044,3,27,6,8,13,,,,,,,,
