datetime,LINK_ID,ROAD_ROUTE_ID,SECTN_CAR_CNT,TR_VOL_5MN,SM_TR_VOL_5MN,MD_TR_VOL_5MN,LG_TR_VOL_5MN,TR_VOL_15MN,SM_TR_VOL_15MN,MD_TR_VOL_15MN,LG_TR_VOL_15MN,TR_VOL_YMDH,SM_TR_VOL_YMDH,MD_TR_VOL_YMDH,LG_TR_VOL_YMDH
202206010025,1860217400,AD2500001044,4,20,5,6,9,,,,,,,,
202206010125,1860217400,AD2500001044,2,9,3,2,4,,,,,,,,
202206010625,1860217400,AD2500001044,4,14,4,6,4,,,,,,,,
202206010705,1860217400,AD2500001044,4,24,18,1,5,,,,,,,,
202206012325,1860217400,AD2500001044,0,29,6,8,15,,,,,,,,
202206020445,1860217400,AD2500001044,0,15,1,4,10,32,7,6,19,,,,
202206020045,1860217400,AD2500001044,0,25,5,9,11,71,15,22,34,,,,
202206020605,1860217400,AD2500001044,7,16,4,3,9,,,,,,,,
202206012345,1860217400,AD2500001044,0,39,11,9,19,112,36,30,46,,,,
202206020505,1860217400,AD2500001044,4,9,1,3,5,,,,,,,,
202206020105,1860217400,AD2500001044,0,35,12,7,16,,,,,,,,
202206020625,1860217400,AD2500001044,5,21,5,8,8,,,,,,,,
202206020005,1860217400,AD2500001044,2,30,8,10,12,,,,,,,,
202206020525,1860217400,AD2500001044,7,8,2,1,5,,,,,,,,
202206020125,1860217400,AD2500001044,5,12,3,2,7,,,,,,,,
202206020645,1860217400,AD2500001044,15,18,4,7,7,46,8,16,22,,,,
202206020025,1860217400,AD2500001044,7,21,8,6,7,,,,,,,,
202206020545,1860217400,AD2500001044,7,7,1,1,5,36,5,4,27,,,,
202206020705,1860217400,AD2500001044,32,15,5,6,4,,,,,,,,
202206020155,1860217400,AD2500001044,2,8,1,2,5,,,,,,,,
202206032125,1860217400,AD2500001044,7,24,8,6,10,,,,,,,,
202206031745,1860217400,AD2500001044,30,51,51,0,0,150,150,0,0,,,,
202206032245,1860217400,AD2500001044,7,39,18,9,12,79,28,24,27,,,,
202206020215,1860217400,AD2500001044,7,5,1,2,2,20,6,4,10,,,,
202206032145,1860217400,AD2500001044,23,57,20,11,26,135,51,23,61,,,,
202206031805,1860217400,AD2500001044,43,49,49,0,0,,,,,,,,
202206032305,1860217400,AD2500001044,7,42,13,15,14,,,,,,,,
202206020235,1860217400,AD2500001044,2,11,1,5,5,,,,,,,,
202206032205,1860217400,AD2500001044,16,37,10,12,15,,,,,,,,
202206031825,1860217400,AD2500001044,16,38,38,0,0,,,,,,,,
202206032325,1860217400,AD2500001044,3,16,8,6,2,,,,,,,,
202206020255,1860217400,AD2500001044,0,5,2,2,1,,,,,,,,
202206032225,1860217400,AD2500001044,4,40,22,8,10,,,,,,,,
202206051025,1860217400,AD2500001044,19,23,16,6,1,,,,,,,,
202206051305,1860217400,AD2500001044,0,59,59,0,0,,,,,,,,
202206051425,1860217400,AD2500001044,18,37,37,0,0,,,,,,,,
202206051045,1860217400,AD2500001044,30,46,46,0,0,127,127,0,0,,,,
202206010620,1860217400,AD2500001044,6,33,10,9,14,,,,,,,,
202206051325,1860217400,AD2500001044,14,38,38,0,0,,,,,,,,
202206051445,1860217400,AD2500001044,32,65,65,0,0,167,167,0,0,,,,
202206051105,1860217400,AD2500001044,16,44,44,0,0,,,,,,,,
202206010345,1860217400,AD2500001044,3,8,2,1,5,24,7,3,14,,,,
202206051345,1860217400,AD2500001044,19,50,50,0,0,145,145,0,0,,,,
202206051505,1860217400,AD2500001044,15,81,81,0,0,,,,,,,,
202206051125,1860217400,AD2500001044,24,40,40,0,0,,,,,,,,
202206022245,1860217400,AD2500001044,13,36,7,11,18,98,37,23,38,,,,
202206051405,1860217400,AD2500001044,29,71,71,0,0,,,,,,,,
202206070325,1860217400,AD2500001044,0,6,2,0,4,,,,,,,,
202206070445,1860217400,AD2500001044,5,15,4,5,6,38,11,13,14,,,,
202206070105,1860217400,AD2500001044,0,8,3,2,3,,,,,,,,
202206022305,1860217400,AD2500001044,2,27,11,6,10,,,,,,,,
202206070345,1860217400,AD2500001044,0,9,1,3,5,27,7,8,12,,,,
202206070505,1860217400,AD2500001044,7,5,3,0,2,,,,,,,,
202206070125,1860217400,AD2500001044,3,20,10,6,4,,,,,,,,
202206022325,1860217400,AD2500001044,0,17,9,3,5,,,,,,,,
202206070405,1860217400,AD2500001044,0,9,1,3,5,,,,,,,,
202206070525,1860217400,AD2500001044,5,13,4,2,7,,,,,,,,
202206070145,1860217400,AD2500001044,4,21,8,6,7,51,22,11,18,,,,
202206022345,1860217400,AD2500001044,4,24,11,2,11,55,19,10,26,,,,
202206070425,1860217400,AD2500001044,2,7,1,2,4,,,,,,,,
202206010335,1860217400,AD2500001044,5,5,1,1,3,,,,,,,,
202206070545,1860217400,AD2500001044,13,28,5,5,18,66,16,10,40,,,,
202206150125,1860217400,AD2500001044,0,9,3,2,4,,,,,,,,
202206152125,1860217400,AD2500001044,6,42,11,13,18,,,,,,,,
202206160725,1860217400,AD2500001044,45,9,6,3,0,,,,,,,,
202206010920,1860217400,AD2500001044,14,84,50,25,9,,,,,,,,
202206150145,1860217400,AD2500001044,0,13,5,2,6,30,10,5,15,,,,
202206152145,1860217400,AD2500001044,30,79,24,27,28,202,71,68,63,,,,
202206160745,1860217400,AD2500001044,51,16,11,5,0,46,34,9,3,,,,
202206022340,1860217400,AD2500001044,4,16,4,4,8,,,,,,,,
202206150205,1860217400,AD2500001044,2,24,8,4,12,,,,,,,,
202206152205,1860217400,AD2500001044,11,71,26,18,27,,,,,,,,
202206160805,1860217400,AD2500001044,110,32,19,12,1,,,,,,,,
202206030000,1860217400,AD2500001044,9,14,5,6,3,43,17,15,11,172,53,54,65
202206150225,1860217400,AD2500001044,0,5,3,1,1,,,,,,,,
202206152225,1860217400,AD2500001044,0,54,18,12,24,,,,,,,,
202206160825,1860217400,AD2500001044,60,16,13,2,1,,,,,,,,
202206030020,1860217400,AD2500001044,2,15,2,4,9,,,,,,,,
202206150245,1860217400,AD2500001044,0,7,2,2,3,23,8,3,12,,,,
202206152245,1860217400,AD2500001044,5,55,21,9,25,137,50,29,58,,,,
202206160845,1860217400,AD2500001044,49,23,19,4,0,77,61,12,4,,,,
202206030040,1860217400,AD2500001044,0,9,2,3,4,,,,,,,,
202206150305,1860217400,AD2500001044,0,16,6,4,6,,,,,,,,
202206010330,1860217400,AD2500001044,0,7,0,3,4,23,3,5,15,,,,
202206152305,1860217400,AD2500001044,7,51,18,13,20,,,,,,,,
202206160905,1860217400,AD2500001044,53,39,31,7,1,,,,,,,,
202206150325,1860217400,AD2500001044,0,8,1,4,3,,,,,,,,
202206152325,1860217400,AD2500001044,0,29,6,8,15,,,,,,,,
202206010825,1860217400,AD2500001044,0,41,28,10,3,,,,,,,,
202206160925,1860217400,AD2500001044,46,28,26,2,0,,,,,,,,
202206021705,1860217400,AD2500001044,38,61,61,0,0,,,,,,,,
202206150345,1860217400,AD2500001044,0,8,2,1,5,24,7,3,14,,,,
202206152345,1860217400,AD2500001044,2,39,11,9,19,112,36,30,46,,,,
202206160945,1860217400,AD2500001044,37,49,40,7,2,113,90,20,3,,,,
202206021725,1860217400,AD2500001044,20,44,44,0,0,,,,,,,,
202206150405,1860217400,AD2500001044,5,10,4,2,4,,,,,,,,
202206160005,1860217400,AD2500001044,5,30,8,10,12,,,,,,,,
202206161005,1860217400,AD2500001044,27,49,38,8,3,,,,,,,,
202206021745,1860217400,AD2500001044,31,56,56,0,0,148,148,0,0,,,,
202206150425,1860217400,AD2500001044,0,6,2,0,4,,,,,,,,
202206160025,1860217400,AD2500001044,5,21,8,6,7,,,,,,,,
202206161025,1860217400,AD2500001044,20,39,34,3,2,,,,,,,,
202206021805,1860217400,AD2500001044,27,51,51,0,0,,,,,,,,
202206150445,1860217400,AD2500001044,2,5,2,1,2,19,6,3,10,,,,
202206160045,1860217400,AD2500001044,2,25,5,9,11,71,15,22,34,,,,
202206161045,1860217400,AD2500001044,8,65,65,0,0,154,154,0,0,,,,
202206040945,1860217400,AD2500001044,52,33,28,3,2,88,76,9,3,,,,
202206150505,1860217400,AD2500001044,0,6,1,2,3,,,,,,,,
202206160105,1860217400,AD2500001044,2,35,12,7,16,,,,,,,,
202206161105,1860217400,AD2500001044,12,47,47,0,0,,,,,,,,
202206041005,1860217400,AD2500001044,37,29,23,5,1,,,,,,,,
202206150525,1860217400,AD2500001044,0,14,3,5,6,,,,,,,,
202206160125,1860217400,AD2500001044,2,12,3,2,7,,,,,,,,
202206161125,1860217400,AD2500001044,27,45,45,0,0,,,,,,,,
202206041025,1860217400,AD2500001044,21,26,22,4,0,,,,,,,,
202206150545,1860217400,AD2500001044,9,12,1,3,8,58,19,8,31,,,,
202206160145,1860217400,AD2500001044,0,37,2,14,21,60,6,18,36,,,,
202206161145,1860217400,AD2500001044,29,57,57,0,0,148,148,0,0,,,,
202206041045,1860217400,AD2500001044,41,39,39,0,0,97,97,0,0,,,,
202206150605,1860217400,AD2500001044,13,38,8,7,23,,,,,,,,
202206160205,1860217400,AD2500001044,4,18,4,3,11,,,,,,,,
