datetime,LINK_ID,ROAD_ROUTE_ID,SECTN_CAR_CNT,TR_VOL_5MN,SM_TR_VOL_5MN,MD_TR_VOL_5MN,LG_TR_VOL_5MN,TR_VOL_15MN,SM_TR_VOL_15MN,MD_TR_VOL_15MN,LG_TR_VOL_15MN,TR_VOL_YMDH,SM_TR_VOL_YMDH,MD_TR_VOL_YMDH,LG_TR_VOL_YMDH
202204010350,1860217400,AD2500001044,2,5,1,1,3,,,,,,,,
202204010430,1860217400,AD2500001044,0,5,0,3,2,14,2,4,8,,,,
202204010450,1860217400,AD2500001044,0,5,2,1,2,,,,,,,,
202204021530,1860217400,AD2500001044,30,58,58,0,0,150,150,0,0,,,,
202204011950,1860217400,AD2500001044,18,47,18,9,20,,,,,,,,
202204011230,1860217400,AD2500001044,15,33,33,0,0,87,87,0,0,,,,
202204011730,1860217400,AD2500001044,31,57,57,0,0,149,149,0,0,,,,
202204021550,1860217400,AD2500001044,55,54,54,0,0,,,,,,,,
202204012010,1860217400,AD2500001044,11,27,11,6,10,,,,,,,,
202204011250,1860217400,AD2500001044,14,44,44,0,0,,,,,,,,
202204011750,1860217400,AD2500001044,25,60,60,0,0,,,,,,,,
202204021610,1860217400,AD2500001044,25,34,34,0,0,,,,,,,,
202204012030,1860217400,AD2500001044,8,46,18,13,15,114,42,31,41,,,,
202204011310,1860217400,AD2500001044,4,27,27,0,0,,,,,,,,
202204011810,1860217400,AD2500001044,35,34,34,0,0,,,,,,,,
202204021630,1860217400,AD2500001044,29,64,64,0,0,153,153,0,0,,,,
202204012050,1860217400,AD2500001044,6,53,20,13,20,,,,,,,,
202204032230,1860217400,AD2500001044,15,57,16,11,30,121,33,28,60,,,,
202204031510,1860217400,AD2500001044,43,42,42,0,0,,,,,,,,
202204032010,1860217400,AD2500001044,11,39,18,10,11,,,,,,,,
202204041830,1860217400,AD2500001044,34,122,122,0,0,297,297,0,0,,,,
202204032250,1860217400,AD2500001044,2,28,9,6,13,,,,,,,,
202204031530,1860217400,AD2500001044,27,56,56,0,0,154,154,0,0,,,,
202204032030,1860217400,AD2500001044,9,59,21,13,25,141,44,44,53,,,,
202204041850,1860217400,AD2500001044,12,99,99,0,0,,,,,,,,
202204032310,1860217400,AD2500001044,8,16,4,5,7,,,,,,,,
202204031550,1860217400,AD2500001044,14,51,51,0,0,,,,,,,,
202204032050,1860217400,AD2500001044,13,48,10,19,19,,,,,,,,
202204041910,1860217400,AD2500001044,10,71,71,0,0,,,,,,,,
202204032330,1860217400,AD2500001044,10,31,10,8,13,65,18,14,33,,,,
202204031610,1860217400,AD2500001044,9,42,42,0,0,,,,,,,,
202204032110,1860217400,AD2500001044,7,48,20,17,11,,,,,,,,
202204041930,1860217400,AD2500001044,0,83,83,0,0,241,208,9,24,,,,
202204062110,1860217400,AD2500001044,7,64,31,12,21,,,,,,,,
202204060130,1860217400,AD2500001044,3,14,5,4,5,37,10,10,17,,,,
202204051810,1860217400,AD2500001044,23,90,90,0,0,,,,,,,,
202204052310,1860217400,AD2500001044,3,25,11,8,6,,,,,,,,
202204062130,1860217400,AD2500001044,0,67,23,11,33,178,68,40,70,,,,
202204060150,1860217400,AD2500001044,0,8,3,2,3,,,,,,,,
202204051830,1860217400,AD2500001044,29,123,123,0,0,276,276,0,0,,,,
202204052330,1860217400,AD2500001044,4,24,7,5,12,64,20,14,30,,,,
202204062150,1860217400,AD2500001044,14,64,23,26,15,,,,,,,,
202204060210,1860217400,AD2500001044,0,13,5,3,5,,,,,,,,
202204051850,1860217400,AD2500001044,36,83,83,0,0,,,,,,,,
202204052350,1860217400,AD2500001044,3,37,15,13,9,,,,,,,,
202204062210,1860217400,AD2500001044,6,68,32,12,24,,,,,,,,
202204060230,1860217400,AD2500001044,0,21,6,3,12,36,8,9,19,,,,
202204110810,1860217400,AD2500001044,45,32,21,8,3,,,,,,,,
202204180910,1860217400,AD2500001044,46,34,21,11,2,,,,,,,,
202204120410,1860217400,AD2500001044,0,4,2,0,2,,,,,,,,
202204091630,1860217400,AD2500001044,48,64,64,0,0,153,153,0,0,,,,
202204110830,1860217400,AD2500001044,70,62,48,9,5,166,132,24,10,,,,
202204180930,1860217400,AD2500001044,14,49,32,14,3,140,95,33,12,,,,
202204120430,1860217400,AD2500001044,4,11,4,2,5,46,8,12,26,,,,
202204091650,1860217400,AD2500001044,29,59,59,0,0,,,,,,,,
202204110850,1860217400,AD2500001044,56,68,61,5,2,,,,,,,,
202204180950,1860217400,AD2500001044,32,49,31,13,5,,,,,,,,
202204120450,1860217400,AD2500001044,4,15,2,6,7,,,,,,,,
202204091710,1860217400,AD2500001044,31,48,48,0,0,,,,,,,,
202204110910,1860217400,AD2500001044,29,34,21,11,2,,,,,,,,
202204181010,1860217400,AD2500001044,5,37,28,4,5,,,,,,,,
202204120510,1860217400,AD2500001044,2,7,1,2,4,,,,,,,,
202204091730,1860217400,AD2500001044,24,77,77,0,0,197,197,0,0,,,,
202204110930,1860217400,AD2500001044,13,49,32,14,3,140,95,33,12,,,,
202204181030,1860217400,AD2500001044,25,39,28,10,1,170,159,10,1,,,,
202204120530,1860217400,AD2500001044,4,14,6,2,6,54,22,11,21,,,,
202204091750,1860217400,AD2500001044,48,70,70,0,0,,,,,,,,
202204110950,1860217400,AD2500001044,35,49,31,13,5,,,,,,,,
202204181050,1860217400,AD2500001044,18,81,81,0,0,,,,,,,,
202204120550,1860217400,AD2500001044,5,14,5,2,7,,,,,,,,
202204091810,1860217400,AD2500001044,9,47,47,0,0,,,,,,,,
202204111010,1860217400,AD2500001044,18,37,28,4,5,,,,,,,,
202204181110,1860217400,AD2500001044,23,48,48,0,0,,,,,,,,
202204120610,1860217400,AD2500001044,2,22,7,4,11,,,,,,,,
202204091830,1860217400,AD2500001044,30,64,64,0,0,159,159,0,0,,,,
202204111030,1860217400,AD2500001044,14,39,28,10,1,170,159,10,1,,,,
202204181130,1860217400,AD2500001044,20,57,57,0,0,150,150,0,0,,,,
202204120630,1860217400,AD2500001044,18,42,17,8,17,124,49,23,52,,,,
202204091850,1860217400,AD2500001044,7,51,51,0,0,,,,,,,,
202204111050,1860217400,AD2500001044,22,81,81,0,0,,,,,,,,
202204181150,1860217400,AD2500001044,30,77,77,0,0,,,,,,,,
202204120650,1860217400,AD2500001044,22,46,21,9,16,,,,,,,,
202204091910,1860217400,AD2500001044,28,34,34,0,0,,,,,,,,
202204111110,1860217400,AD2500001044,27,48,48,0,0,,,,,,,,
202204181210,1860217400,AD2500001044,4,42,42,0,0,,,,,,,,
202204120710,1860217400,AD2500001044,50,23,14,7,2,,,,,,,,
202204091930,1860217400,AD2500001044,17,44,44,0,0,130,109,12,9,,,,
202204111130,1860217400,AD2500001044,27,57,57,0,0,150,150,0,0,,,,
202204181230,1860217400,AD2500001044,32,78,78,0,0,188,188,0,0,,,,
202204120730,1860217400,AD2500001044,54,59,37,11,11,139,87,33,19,,,,
202204091950,1860217400,AD2500001044,25,56,29,12,15,,,,,,,,
202204111150,1860217400,AD2500001044,27,77,77,0,0,,,,,,,,
202204181250,1860217400,AD2500001044,19,69,69,0,0,,,,,,,,
202204120750,1860217400,AD2500001044,75,47,26,15,6,,,,,,,,
202204092010,1860217400,AD2500001044,13,31,15,10,6,,,,,,,,
202204111210,1860217400,AD2500001044,12,42,42,0,0,,,,,,,,
202204181310,1860217400,AD2500001044,16,45,45,0,0,,,,,,,,
202204120810,1860217400,AD2500001044,53,31,24,5,2,,,,,,,,
202204092030,1860217400,AD2500001044,11,64,26,16,22,167,70,49,48,,,,
