datetime,LINK_ID,ROAD_ROUTE_ID,SECTN_CAR_CNT,TR_VOL_5MN,SM_TR_VOL_5MN,MD_TR_VOL_5MN,LG_TR_VOL_5MN,TR_VOL_15MN,SM_TR_VOL_15MN,MD_TR_VOL_15MN,LG_TR_VOL_15MN,TR_VOL_YMDH,SM_TR_VOL_YMDH,MD_TR_VOL_YMDH,LG_TR_VOL_YMDH
202203010305,1860217400,AD2500001044,0,8,4,2,2,,,,,,,,
202203010405,1860217400,AD2500001044,0,9,1,3,5,,,,,,,,
202203030845,1860217400,AD2500001044,38,23,19,4,0,77,61,12,4,,,,
202203020325,1860217400,AD2500001044,0,8,1,4,3,,,,,,,,
202203011225,1860217400,AD2500001044,24,40,40,0,0,,,,,,,,
202203012225,1860217400,AD2500001044,7,44,11,14,19,,,,,,,,
202203030905,1860217400,AD2500001044,83,39,31,7,1,,,,,,,,
202203020345,1860217400,AD2500001044,0,8,2,1,5,24,7,3,14,,,,
202203011245,1860217400,AD2500001044,11,54,54,0,0,165,165,0,0,,,,
202203012245,1860217400,AD2500001044,5,44,16,7,21,95,26,22,47,,,,
202203030925,1860217400,AD2500001044,41,28,26,2,0,,,,,,,,
202203020405,1860217400,AD2500001044,0,10,4,2,4,,,,,,,,
202203011305,1860217400,AD2500001044,40,72,72,0,0,,,,,,,,
202203012305,1860217400,AD2500001044,0,19,9,5,5,,,,,,,,
202203030945,1860217400,AD2500001044,34,49,40,7,2,113,90,20,3,,,,
202203040705,1860217400,AD2500001044,27,16,10,2,4,,,,,,,,
202203011325,1860217400,AD2500001044,0,53,53,0,0,,,,,,,,
202203040205,1860217400,AD2500001044,2,14,2,6,6,,,,,,,,
202203040725,1860217400,AD2500001044,15,14,10,2,2,,,,,,,,
202203031625,1860217400,AD2500001044,33,36,36,0,0,,,,,,,,
202203051305,1860217400,AD2500001044,58,63,63,0,0,,,,,,,,
202203040225,1860217400,AD2500001044,0,5,1,2,2,,,,,,,,
202203040745,1860217400,AD2500001044,66,20,14,3,3,63,53,7,3,,,,
202203031645,1860217400,AD2500001044,23,51,51,0,0,144,144,0,0,,,,
202203051325,1860217400,AD2500001044,45,30,30,0,0,,,,,,,,
